file, date, name, hoster, city
2013-12, 11 декабря 2013, Открытая олимпиада по программированию \\ Зимний тур 2013, Казахстанский филиал МГУ имени М.В.Ломоносова, г.~Астана
2014-03, 17 марта 2014, Открытая олимпиада по программированию \\ Весенний тур 2014, Казахстанский филиал МГУ имени М.В.Ломоносова, г.~Астана
2014-12, 9 декабря 2014, Открытая олимпиада по программированию \\ Зимний тур 2014, Казахстанский филиал МГУ имени М.В.Ломоносова, г.~Астана
2015-03, 18 марта 2015, Открытая олимпиада по программированию \\ Весенний тур 2015, Казахстанский филиал МГУ имени М.В.Ломоносова, г.~Астана
2015-10, 20 октября 2015, Открытая олимпиада по программированию \\ Осенний тур 2015, Казахстанский филиал МГУ имени М.В.Ломоносова, г.~Астана
2016-04, 30 апреля 2016, Открытая олимпиада по программированию \\ Весенний тур 2016, Казахстанский филиал МГУ имени М.В.Ломоносова, г.~Астана
2016-10, 15 октября 2016, Открытая олимпиада по программированию \\ Осенний тур 2016, Казахстанский филиал МГУ имени М.В.Ломоносова, г.~Астана
2017-05, 31 мая 2017, Открытая олимпиада по программированию \\ Весенний тур 2017, Казахстанский филиал МГУ имени М.В.Ломоносова, г.~Астана
2017-10, 28 октября 2017, Открытая олимпиада по программированию \\ Осенний тур 2017, Казахстанский филиал МГУ имени М.В.Ломоносова, г.~Астана
2018-05, 19 мая 2018, Открытая олимпиада по программированию \\ Весенний тур 2018, Казахстанский филиал МГУ имени М.В.Ломоносова, г.~Астана
